Column 0,Column 1,Column 2,Column 3
"838 S La Brea Ave | 838 S La Brea Ave, Los Angeles, CA","$2,095+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/838-s-la-brea-ave/9Tz8xj/,https://photos.zillowstatic.com/fp/d391d647fc3bebf135133fa6e583ea77-p_e.jpg
"Saticoy Gardens | 14955 Saticoy St, Van Nuys, CA","$2,156+ 1 bd",https://www.zillow.com/apartments/van-nuys-ca/saticoy-gardens/5XjV5Q/,https://photos.zillowstatic.com/fp/aa817770526702c843db48518e60f631-p_e.jpg
"1550 North Fuller Avenue, 1550 N Fuller Ave APT 310, Los Angeles, CA 90046","$2,923/mo",https://www.zillow.com/apartments/los-angeles-ca/1550-north-fuller-avenue/5XqQss/,https://photos.zillowstatic.com/fp/93d944c4f54452ca7b29ea20cab68183-p_e.jpg
"Independence Plaza Apartment Homes, 8735 Independence Ave APT 49, Canoga Park, CA 91304","$2,225/mo",https://www.zillow.com/apartments/canoga-park-ca/independence-plaza-apartment-homes/5XjVcn/,https://photos.zillowstatic.com/fp/538d7fcbd3511f28aa3c7e1ef0deadcf-p_e.jpg
"Renaissance Tower | 501 W Olympic Blvd, Los Angeles, CA","$1,885+ Studio",https://www.zillow.com/apartments/los-angeles-ca/renaissance-tower/5Xjx3d/,https://photos.zillowstatic.com/fp/9dca9b0d8a682e3786fa46a729c672bd-p_e.jpg
"Reseda On The Park | 6455 Reseda Blvd, Reseda, CA","$1,760+ Studio",https://www.zillow.com/apartments/reseda-ca/reseda-on-the-park/5XjxNY/,https://photos.zillowstatic.com/fp/5a1cbdfbc6d0fce95dd5e2c4c9f1fbd5-p_e.jpg
"West Park Village | 11400 Rochester Ave, Los Angeles, CA","$2,743+ Studio",https://www.zillow.com/apartments/los-angeles-ca/west-park-village/5XjW7B/,https://photos.zillowstatic.com/fp/52eab5660d69f9c085d0442fd0f897cc-p_e.jpg
"Colby at Ohio | 1517 Colby Ave, Los Angeles, CA","$4,295+ 3 bds",https://www.zillow.com/apartments/los-angeles-ca/colby-at-ohio/BspFDd/,https://photos.zillowstatic.com/fp/75943502b79332c7259c294fafef3354-p_e.jpg
"Villas at Playa Vista - Montecito | 12855 W Runway Rd, Playa Vista, CA","$4,250+ 1 bd",https://www.zillow.com/apartments/playa-vista-ca/villas-at-playa-vista-.dash.-montecito/BjJ2Cm/,https://photos.zillowstatic.com/fp/1771af48a8a19929ac46eb52d7dd3b9b-p_e.jpg
"SMB Hollywood | 6933 Santa Monica Blvd, Los Angeles, CA","$2,692+ Studio",https://www.zillow.com/apartments/los-angeles-ca/smb-hollywood/C3RZmd/,https://photos.zillowstatic.com/fp/26b064c5449df6280e99312117fdc224-p_e.jpg
